Name,R.A.,Dec. ,Mag.,"Size("")"
NGC 40,00 13.0,+72 32,10.7,60
NGC 246,00 47.1,-11 53,8.5,210
M 76,01 42.3,+51 34,11,107
IC 1747,01 57.6,+63 20,12,13
IC 2003,03 56.4,+33 52,12.6,7
NGC 1501,04 07.0,+60 55,12,56
NGC 1514,04 09.2,+30 47,10.8,90
NGC 1535,04 14.2,-12 44,10.4,20
IC 418,05 27.5,-12 42,10.7,14
NGC 2022,05 42.1,+09 05,12.8,28
IC 2149,05 56.3,+46 07,10,12
IC 2165,06 21.8,-12 59,10.6,9
NGC 2371,07 25.6,+29 29,13,74
NGC 2392,07 29.2,+20 55,8.6,47
NGC 2438,07 41.8,-14 44,11,65
NGC 2440,07 41.9,-18 13,11.5,54
NGC 3242,10 24.8,-18 38,8.6,40
M 97,11 14.8,+55 01,11,196
NGC 4361,12 24.5,-18 48,10.9,80
IC 3568,12 32.9,+82 33,11.6,18
NGC 6210,16 44.5,+23 49,9.7,20
NGC 6309,17 14.1,-12 55,11.6,20
NGC 6543,17 58.6,+66 38,8.3,22
NGC 6572,18 12.1,+06 51,8,15
NGC 6741,19 02.6,-00 27,12,9
NGC 6751,19 05.9,-06 00,12,20
NGC 6804,19 31.6,+09 13,12.4,63
NGC 6818,19 44.0,-14 09,10,22
NGC 6826,19 44.8,+50 31,8.8,27
M 27,19 59.6,+22 43,7.3,340
NGC 6891,20 15.2,+12 42,10.5,15
NGC 6894,20 16.4,+30 34,14.4,44
NGC 6905,20 22.4,+20 06,12,44
NGC 7008,21 00.6,+54 33,12,86
NGC 7009,21 04.2,-11 22,8.3,28
NGC 7026,21 06.3,+47 51,12,25
NGC 7027,21 07.1,+42 14,9.6,18
NGC 7048,21 14.9,+46 18,11,60
NGC 7354,22 40.4,+61 17,12.9,22
NGC 7662,23 25.9,+42 33,8.6,17
